物質ID,出典,CAS RN,日本語名,英語名,窒素等価係数,酸素等量係数,pH,最大濃度,最小濃度,酸 (pH≦2),塩基 (pH≧11.5),無機塩類,アルデヒド類,フェノール類,界面活性剤、その他の成分,爆発物,可燃性ガス,エアゾール,酸化性ガス,高圧ガス,引火性液体,可燃性固体,自己反応性化学品,自然発火性液体,自然発火性固体,自己発熱性化学品,水反応可燃性化学品,酸化性液体,酸化性固体,有機過酸化物,金属腐食性化学品,鈍性化爆発物,急性毒性（経口）,急性毒性（経皮）,急性毒性（吸入：気体）,急性毒性（吸入：蒸気）,急性毒性（吸入：粉じん、ミスト）,皮膚腐食性及び皮膚刺激性,眼に対する重篤な損傷性又は眼刺激性,呼吸器感作性,皮膚感作性,生殖細胞変異原性,発がん性,生殖毒性,生殖毒性・授乳影響,特定標的臓器毒性（単回ばく露）,特定標的臓器毒性（単回ばく露）区分（1）,特定標的臓器毒性（単回ばく露）臓器種（1）,特定標的臓器毒性（単回ばく露）暴露経路（1）,特定標的臓器毒性（単回ばく露）区分（2）,特定標的臓器毒性（単回ばく露）臓器種（2）,特定標的臓器毒性（単回ばく露）暴露経路（2）,特定標的臓器毒性（単回ばく露）区分（3）,特定標的臓器毒性（単回ばく露）臓器種（3）,特定標的臓器毒性（単回ばく露）暴露経路（3）,特定標的臓器毒性（単回ばく露）区分（4）,特定標的臓器毒性（単回ばく露）臓器種（4）,特定標的臓器毒性（単回ばく露）暴露経路（4）,特定標的臓器毒性（単回ばく露）区分（5）,特定標的臓器毒性（単回ばく露）臓器種（5）,特定標的臓器毒性（単回ばく露）暴露経路（5）,特定標的臓器毒性（単回ばく露）区分（6）,特定標的臓器毒性（単回ばく露）臓器種（6）,特定標的臓器毒性（単回ばく露）暴露経路（6）,特定標的臓器毒性（単回ばく露）区分（7）,特定標的臓器毒性（単回ばく露）臓器種（7）,特定標的臓器毒性（単回ばく露）暴露経路（7）,特定標的臓器毒性（単回ばく露）区分（8）,特定標的臓器毒性（単回ばく露）臓器種（8）,特定標的臓器毒性（単回ばく露）暴露経路（8）,特定標的臓器毒性（単回ばく露）区分（9）,特定標的臓器毒性（単回ばく露）臓器種（9）,特定標的臓器毒性（単回ばく露）暴露経路（9）,特定標的臓器毒性（単回ばく露）区分（10）,特定標的臓器毒性（単回ばく露）臓器種（10）,特定標的臓器毒性（単回ばく露）暴露経路（10）,特定標的臓器毒性（反復ばく露）,特定標的臓器毒性（反復ばく露）区分(1),特定標的臓器毒性（反復ばく露）臓器種(1),特定標的臓器毒性（反復ばく露）暴露経路(1),特定標的臓器毒性（反復ばく露）区分(2),特定標的臓器毒性（反復ばく露）臓器種(2),特定標的臓器毒性（反復ばく露）暴露経路(2),特定標的臓器毒性（反復ばく露）区分(3),特定標的臓器毒性（反復ばく露）臓器種(3),特定標的臓器毒性（反復ばく露）暴露経路(3),特定標的臓器毒性（反復ばく露）区分(4),特定標的臓器毒性（反復ばく露）臓器種(4),特定標的臓器毒性（反復ばく露）暴露経路(4),特定標的臓器毒性（反復ばく露）区分(5),特定標的臓器毒性（反復ばく露）臓器種(5),特定標的臓器毒性（反復ばく露）暴露経路(5),特定標的臓器毒性（反復ばく露）区分(6),特定標的臓器毒性（反復ばく露）臓器種(6),特定標的臓器毒性（反復ばく露）暴露経路(6),特定標的臓器毒性（反復ばく露）区分(7),特定標的臓器毒性（反復ばく露）臓器種(7),特定標的臓器毒性（反復ばく露）暴露経路(7),特定標的臓器毒性（反復ばく露）区分(8),特定標的臓器毒性（反復ばく露）臓器種(8),特定標的臓器毒性（反復ばく露）暴露経路(8),特定標的臓器毒性（反復ばく露）区分(9),特定標的臓器毒性（反復ばく露）臓器種(9),特定標的臓器毒性（反復ばく露）暴露経路(9),特定標的臓器毒性（反復ばく露）区分(10),特定標的臓器毒性（反復ばく露）臓器種(10),特定標的臓器毒性（反復ばく露）暴露経路(10),誤えん有害性,水生環境有害性　短期　（急性）,水生環境有害性　長期　（慢性）,オゾン層への有害性,急性毒性（経口）急性毒性推定値（ATE）mg/kg,急性毒性（経皮）急性毒性推定値（ATE）mg/kg,急性毒性（吸入：気体）急性毒性推定値（ATE）ppmV,急性毒性（吸入：蒸気）急性毒性推定値（ATE）ppmV,急性毒性（吸入：蒸気）急性毒性推定値（ATE）mg/L,急性毒性（吸入：粉じん、ミスト）急性毒性推定値（ATE）mg/l,LC50(魚類),EC50(甲殻類),EC50(藻類),毒性乗率　水生環境有害性　短期　（急性）,NOEC(魚類),NOEC(甲殻類),NOEC(藻類),急速分解性有無,毒性乗率　水生環境有害性　長期　（慢性）,GHS分類結果情報参照URL（日）,GHS分類結果情報参照URL（英）,ratio
m-nite-10022-68-1,NITE,10022-68-1,硝酸カドミウム・四水和物,Cadmium nitrate_ tetrahydrate,,,,,,,,,,,,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分3,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分1,区分1,分類できない,分類できない,区分1B,区分1A,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,300,,,,,,,0.005,,100,,,,不明,100,https://www.nite.go.jp/chem/ghs/m-nite-10022-68-1.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10024-97-2,NITE,10024-97-2,一酸化二窒素 (別名：亜酸化窒素),Dinitrogen oxide,,0.6,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分1,高圧液化ガス,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,区分に該当しない,分類できない,区分1A,,区分あり,区分3,麻酔作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,神経系,,区分1,造血系,,,,,,,,,,,,,,,,,,,,,,,,,,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-10024-97-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-100-25-4,NITE,100-25-4,p－ジニトロベンゼン,p-Dinitrobenzene,,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,タイプG,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分1,血液系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,血液系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,,,,,,,0.48,,0.15,1,,,0.0038,無,10,https://www.nite.go.jp/chem/ghs/m-nite-100-25-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10025-67-9,NITE,10025-67-9,一塩化硫黄,Disulfur dichloride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分3,分類できない,区分に該当しない（分類対象外）,区分2,分類できない,区分1,区分1,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分3,気道刺激性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,132,,,452.64,2.5,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-10025-67-9.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10025-73-7,NITE,10025-73-7,塩化第二クロム,Chromium(III) chloride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,区分1,区分1,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,区分3,分類できない,,,,,,,96,67,,,,2.1,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10025-73-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10025-78-2,NITE,10025-78-2,トリクロロシラン,Silane_ trichloro-,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分1,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分1,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分4,分類できない,区分に該当しない（分類対象外）,区分3,分類できない,区分1,区分1,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,1030,,,1383.5,7.66,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10025-78-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10025-82-8,NITE,10025-82-8,塩化インジウム（III）,indium (III) chloride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,区分2,区分2,区分2,,区分あり,区分1,肺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10025-82-8.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10025-87-3,NITE,10025-87-3,塩化ホスホリル,Phosphoryl trichloride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分2,区分3,区分に該当しない（分類対象外）,区分1,分類できない,区分1,区分1,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分1,中枢神経系,,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,中枢神経系,,区分1,呼吸器,,区分1,腎臓,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,区分に該当しない,分類できない,36,1000,,48.4,0.304,,,,32.12,,,,12.5,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10025-87-3.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10025-91-9,NITE,10025-91-9,塩化アンチモン(三塩化アンチモン),Antimony trichloride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分4,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分2,区分2A,分類できない,分類できない,区分2,分類できない,分類できない,,区分あり,区分2,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,血液系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,区分3,分類できない,400,,,,,,,37,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10025-91-9.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10026-04-7,NITE,10026-04-7,テトラクロロシラン,silicon tetrachloride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分1,区分1,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分2,呼吸器系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,,,,8000,56,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10026-04-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10026-07-0,NITE,10026-07-0,四塩化テルル,Tellurium tetrachloride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,区分1B,授乳に対するまたは授乳を介した影響に関する追加区分,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-10026-07-0.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10026-11-6,NITE,10026-11-6,四塩化ジルコニウム,Zirconium tetrachloride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分4,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分2,区分2,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,分類できない,分類できない,1690,,,,,,51,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-10026-11-6.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10026-13-8,NITE,10026-13-8,五塩化りん,Phosphorus pentachloride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分4,区分3,区分に該当しない（分類対象外）,分類できない,分類できない,区分1,区分1,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分2,骨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,600,660,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10026-13-8.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10026-22-9,NITE,10026-22-9,硝酸コバルト（II）六水和物,Cobalt (II) nitrate hexahydrate,,,,,,,,,,,,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,区分1,区分1,分類できない,区分2,区分1B,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,呼吸器系,,区分1,心臓,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10026-22-9.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10026-24-1,NITE,10026-24-1,硫酸コバルト（II）七水和物,Cobalt(II) sulfate heptahydrate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分4,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,区分1,区分1,区分2,区分2,区分1B,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,呼吸器,,区分2,男性生殖器,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,761,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-10026-24-1.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10028-15-6,NITE,10028-15-6,オゾン,ozone,,40,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分1,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分1,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分2A,分類できない,分類できない,区分2,区分に該当しない,区分2,,区分あり,区分1,呼吸器系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,肺,,区分1,気管支,,,,,,,,,,,,,,,,,,,,,,,,,,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,,,4.8,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-10028-15-6.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10031-13-7,NITE,10031-13-7,亜砒酸鉛,lead arsenite,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,区分2,分類できない,分類できない,分類できない,区分1A,区分2,,区分あり,区分1,消化器系,,区分1,循環器系,,区分1,神経系,,区分1,血液系,,区分1,呼吸器,,区分1,皮膚,,区分1,腎臓,,区分1,肝臓,,,,,,,,区分あり,区分1,消化器系,,区分1,循環器系,,区分1,神経系,,区分1,腎臓,,区分1,肝臓,,区分1,血液系,,区分1,呼吸器系,,区分1,皮膚,,,,,,,,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10031-13-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10031-43-3,NITE,10031-43-3,硝酸銅(II)・三水和物,cupric nitrate,,,,,,,,,,,,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分1,区分1,分類できない,区分に該当しない,分類できない,分類できない,区分2,,区分あり,区分1,神経系,,区分1,血液系,,区分1,肝臓,,区分1,腎臓,,区分3,気道刺激性,,,,,,,,,,,,,,,,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,,940,,,,,,,0.0095,,100,,,,不明,100,https://www.nite.go.jp/chem/ghs/m-nite-10031-43-3.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10034-76-1,NITE,10034-76-1,硫酸カルシウム (1/2水和物) 【焼石膏、バサニ石又はか焼】,Calcium sulfate hemihydrate [calcined gypsum_ bassanite_ or calcination],,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分3,気道刺激性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,5331,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-10034-76-1.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10034-81-8,NITE,10034-81-8,過塩素酸マグネシウム,Magnesium perchlorate,,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分2,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10034-81-8.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10034-85-2,NITE,10034-85-2,ヨウ化水素,hydrogen iodide,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,液化ガス,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分1,区分1,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,皮膚,,区分1,甲状腺,,区分1,呼吸器,,区分1,全身毒性,,,,,,,,,,,,,,,,,,,,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-10034-85-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10034-93-2,NITE,10034-93-2,硫酸ヒドラジン,Hydrazine sulfate,,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,区分1,区分2,区分2,分類できない,,区分あり,区分1,神経系,,区分1,肝臓,,区分3,気道刺激性,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,肝臓,,区分1,副腎,,区分2,腎臓,,区分2,血液系,,区分2,中枢神経系,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,601,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10034-93-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
